frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
11875,DJI_0411_frame_011875,3276.6,0:54:36,,1;0;0;0,0.7449;0.0000;0.0000,0;1;0,77.88
12000,DJI_0411_frame_012000,3281.6,0:54:41,,1;0;0;0,0.7216;0.0000;0.0000,0;1;0,77.88
12125,DJI_0411_frame_012125,3286.6,0:54:46,,1;0;0;0,0.7057;0.0000;0.0000,0;0;0,100.0
12250,DJI_0411_frame_012250,3291.6,0:54:51,,1;0;0;0,0.6995;0.0000;0.0000,0;0;0,100.0
12375,DJI_0411_frame_012375,3296.6,0:54:56,,1;0;0;0,0.7004;0.0000;0.0000,0;0;0,100.0
12500,DJI_0411_frame_012500,3301.6,0:55:01,,1;0;0;0,0.7195;0.0000;0.0000,0;0;0,100.0
12625,DJI_0411_frame_012625,3306.6,0:55:06,,1;0;0;0,0.7368;0.0000;0.0000,0;0;0,100.0
12750,DJI_0411_frame_012750,3311.6,0:55:11,,1;0;0;0,0.7227;0.0000;0.0000,0;0;0,100.0
12875,DJI_0411_frame_012875,3316.6,0:55:16,,1;0;0;0,0.7473;0.0000;0.0000,0;0;0,100.0
13000,DJI_0411_frame_013000,3321.6,0:55:21,,1;0;0;0,0.7801;0.0000;0.0000,0;0;0,100.0
13125,DJI_0411_frame_013125,3326.6,0:55:26,,1;0;0;0,0.8068;0.0000;0.0000,0;0;0,100.0
13250,DJI_0411_frame_013250,3331.6,0:55:31,,1;0;0;0,0.8031;0.0000;0.0000,0;0;0,100.0
13375,DJI_0411_frame_013375,3336.6,0:55:36,,1;0;0;0,0.8033;0.0000;0.0000,0;0;0,100.0
13500,DJI_0411_frame_013500,3341.6,0:55:41,,1;0;0;0,0.8127;0.0000;0.0000,0;0;0,100.0
13625,DJI_0411_frame_013625,3346.6,0:55:46,,1;0;0;0,0.7978;0.0000;0.0000,0;1;0,77.88
13750,DJI_0411_frame_013750,3351.6,0:55:51,,1;0;0;0,0.7392;0.0000;0.0000,0;0;0,100.0
13875,DJI_0411_frame_013875,3356.6,0:55:56,,1;0;0;0,0.8069;0.0000;0.0000,0;0;0,100.0
14000,DJI_0411_frame_014000,3361.6,0:56:01,,1;0;0;0,0.6111;0.0000;0.0000,0;0;0,100.0
14125,DJI_0411_frame_014125,3366.6,0:56:06,,1;0;0;0,0.3741;0.0000;0.0184,0;0;0,98.73
14250,DJI_0411_frame_014250,3371.6,0:56:11,,0;1;0;0,0.5637;0.0000;0.0000,0;4;0,59.64
14375,DJI_0411_frame_014375,3376.6,0:56:16,,0;0;0;1,0.7645;0.0000;0.0000,0;0;0,82.0
14500,DJI_0411_frame_014500,3381.6,0:56:21,,0;0;1;0,0.5812;0.0000;0.0000,0;0;0,86.0
14625,DJI_0411_frame_014625,3386.6,0:56:26,,0;0;1;0,0.4799;0.0000;0.0000,0;0;0,86.0
14750,DJI_0411_frame_014750,3391.6,0:56:31,,1;0;0;0,0.7979;0.0000;0.0000,0;0;0,100.0
14875,DJI_0411_frame_014875,3396.6,0:56:36,,1;0;0;0,0.7996;0.0000;0.0000,0;3;0,66.74
15000,DJI_0411_frame_015000,3401.6,0:56:41,,1;0;0;0,0.8394;0.0000;0.0000,0;0;0,100.0
15125,DJI_0411_frame_015125,3406.6,0:56:46,,1;0;0;0,0.8029;0.0000;0.0000,0;0;0,100.0
15250,DJI_0411_frame_015250,3411.6,0:56:51,,1;0;0;0,0.7388;0.0000;0.0000,0;0;0,100.0
15375,DJI_0411_frame_015375,3416.6,0:56:56,,1;0;0;0,0.7368;0.0000;0.0000,0;0;0,100.0
15500,DJI_0411_frame_015500,3421.6,0:57:01,,1;0;0;0,0.7161;0.0000;0.0002,0;0;0,99.99
15625,DJI_0411_frame_015625,3426.6,0:57:06,,1;0;0;0,0.6721;0.0000;0.0082,0;0;0,99.68
15750,DJI_0411_frame_015750,3431.6,0:57:11,,1;0;0;0,0.5015;0.0000;0.0682,0;3;0,63.51
15875,DJI_0411_frame_015875,3436.6,0:57:16,,0;1;0;0,0.0942;0.0000;0.1495,0;11;0,42.43
